# 词语	拼音	主码	权重	词长	附加词码
挂到	gua dao	gwdk	120	2	gwdkq gwdkqm
刮刀	gua dao	gwdk	92	2	gwdkh gwdkhs
刮到	gua dao	gwdk	71	2	gwdkh gwdkhm
挂断	gua duan	gwdr	390	2	gwdrq gwdrqv
寡断	gua duan	gwdr	213	2	gwdrj gwdrjv
瓜分	gua fen	gwff	282	2	gwffh gwffhc
刮风	gua feng	gwfg	197	2	gwfgh gwfghh
寡妇	gua fu	gwfu	508	2	gwfuj gwfujv
挂钩	gua gou	gwgb	1061	2	gwgbq gwgbqo
瓜葛	gua ge	gwge	170	2	gwgeh gwgeht
挂个	gua ge	gwge	84	2	gwgeq gwgeqo
瓜果	gua guo	gwgo	403	2	gwgoh gwgohw
刮过	gua guo	gwgo	87	2	gwgoh gwgohy
刮宫	gua gong	gwgs	66	2	gwgsh gwgshj
呱呱	gua gua	gwgw	369	2	gwgwr gwgwrr
刮刮	gua gua	gwgw	124	2	gwgwh gwgwhh
刮痕	gua hen	gwhf	59	2	gwhfh gwhfhk
挂号	gua hao	gwhk	1223	2	gwhkq gwhkqr
寡欢	gua huan	gwhr	148	2	gwhrj gwhrje
刮胡	gua hu	gwhu	56	2	gwhuh gwhuhj
挂车	gua che	gwie	254	2	gwieq gwieqk
挂出	gua chu	gwiu	112	2	gwiuq gwiuqu
挂机	gua ji	gwji	690	2	gwjiq gwjiqd
挂件	gua jian	gwjm	832	2	gwjmq gwjmqo
挂架	gua jia	gwjw	66	2	gwjwq gwjwqk
挂靠	gua kao	gwkk	381	2	gwkkq gwkkqh
挂了	gua le	gwle	1266	2	gwleq gwleqn
刮了	gua le	gwle	134	2	gwleh gwlehn
挂历	gua li	gwli	454	2	gwliq gwliqm
挂马	gua ma	gwma	315	2	gwmaq gwmaqn
挂满	gua man	gwmj	379	2	gwmjq gwmjqe
挂面	gua mian	gwmm	140	2	gwmmq gwmmqm
刮目相看	gua mu xiang kan	gwmuxdkj	357	4	gwmuxdkjh gwmuxdkjhh
挂名	gua ming	gwmy	79	2	gwmyq gwmyqn
挂念	gua nian	gwnm	576	2	gwnmq gwnmqo
瓜农	gua nong	gwns	60	2	gwnsh gwnshh
瓜皮	gua pi	gwpi	55	2	gwpih gwpihd
挂牌	gua pai	gwpl	2532	2	gwplq gwplql
刮起	gua qi	gwqi	354	2	gwqih gwqihg
挂起	gua qi	gwqi	325	2	gwqiq gwqiqg
刮去	gua qu	gwqu	53	2	gwquh gwquhg
寡人	gua ren	gwrf	272	2	gwrfj gwrfjo
挂锁	gua suo	gwso	60	2	gwsoq gwsoqo
寡头	gua tou	gwtb	208	2	gwtbj gwtbjy
寡糖	gua tang	gwth	65	2	gwthj gwthjf
挂图	gua tu	gwtu	266	2	gwtuq gwtuqw
刮痧	gua sha	gwua	242	2	gwuah gwuahk
挂上	gua shang	gwuh	516	2	gwuhq gwuhqy
刮伤	gua shang	gwuh	97	2	gwuhh gwuhho
挂失	gua shi	gwui	254	2	gwuiq gwuiqh
挂帅	gua shuai	gwuy	180	2	gwuyq gwuyql
瓜洲	gua zhou	gwvb	316	2	gwvbh gwvbhe
瓜州	gua zhou	gwvb	63	2	gwvbh gwvbhh
挂着	gua zhe	gwve	1499	2	gwveq gwveqt
刮着	gua zhe	gwve	76	2	gwveh gwveht
挂职	gua zhi	gwvi	268	2	gwviq gwviqs
挂钟	gua zhong	gwvs	116	2	gwvsq gwvsqo
挂住	gua zhu	gwvu	731	2	gwvuq gwvuqo
寡闻	gua wen	gwwf	109	2	gwwfj gwwfjl
卦象	gua xiang	gwxd	70	2	gwxdg gwxdgn
挂心	gua xin	gwxn	58	2	gwxnq gwxnqp
公务员	gong wu yuan	gwy	10429	3	gwyc gwycr gswuyr gswuyrc gswuyrcr
挂有	gua you	gwyb	74	2	gwybq gwybqk
寡言	gua yan	gwyj	262	2	gwyjj gwyjjy
寡欲	gua yu	gwyu	86	2	gwyuj gwyujc
瓜子	gua zi	gwzi	662	2	gwzih gwzihn
瓜子脸	gua zi lian	gwzilm	106	3	gwzilmh gwzilmhb
挂在	gua zai	gwzl	2057	2	gwzlq gwzlqk
挂载	gua zai	gwzl	88	2	gwzlq gwzlqj
关系	guan xi	gx	48760	2	gxc gxch grxi grxic grxich
更新	geng xin	gx	44566	2	gxm gxmy ggxn ggxnm ggxnmy
感谢	gan xie	gx	24007	2	gxi gxii gjxx gjxxi gjxxii
贡献	gong xian	gx	15701	2	gxm gxmj gsxm gsxmm gsxmmj
广西	guang xi	gx	14513	2	gxy gxym gdxi gdxiy gdxiym
高兴	gao xing	gx	13930	2	gxy gxyf gkxy gkxyy gkxyyf
个性	ge xing	gx	13589	2	gxo gxop gexy gexyo gexyop
高校	gao xiao	gx	13073	2	gxy gxyd gkxc gkxcy gkxcyd
关心	guan xin	gx	12273	2	gxc gxcp grxn grxnc grxncp
关于	guan yu	gy	92685	2	gyc gycm gryu gryuc gryucm
供应	gong ying	gy	77241	2	gyo gyoi gsyy gsyyo gsyyoi
个月	ge yue	gy	44011	2	gyo gyob geyt geyto geytob
工业	gong ye	gy	40852	2	gym gymt gsye gsyem gsyemt
工艺	gong yi	gy	20350	2	gym gymt gsyi gsyim gsyimt
公园	gong yuan	gy	18375	2	gyc gycw gsyr gsyrc gsyrcw
共有	gong you	gy	15507	2	gyt gytk gsyb gsybt gsybtk
公寓	gong yu	gy	15093	2	gyc gycj gsyu gsyuc gsyucj
乖宝宝	guai bao bao	gybkbk	112	3	gybkbkh gybkbkhj
怪不得	guai bu de	gybude	793	3	gybudep gybudeph
怪病	guai bing	gyby	598	2	gybyp gybypk
怪诞	guai dan	gydj	136	2	gydjp gydjpi
拐点	guai dian	gydm	744	2	gydmq gydmqy
乖乖	guai guai	gygy	2911	2	gygyh gygyhh
怪怪	guai guai	gygy	733	2	gygyp gygypp
乖乖的	guai guai de	gygyde	647	3	gygydeh gygydehh
乖孩子	guai hai zi	gyhlzi	130	3	gyhlzih gyhlzihn
拐角	guai jiao	gyjc	288	2	gyjcq gyjcqn
怪叫	guai jiao	gyjc	135	2	gyjcp gyjcpr
拐进	guai jin	gyjn	59	2	gyjnq gyjnqy
怪杰	guai jie	gyjx	64	2	gyjxp gyjxpd
怪客	guai ke	gyke	55	2	gykep gykepj
怪了	guai le	gyle	279	2	gylep gylepn
拐了	guai le	gyle	103	2	gyleq gyleqn
怪力	guai li	gyli	59	2	gylip gylipk
拐卖	guai mai	gyml	271	2	gymlq gymlqj
怪你	guai ni	gyni	449	2	gynip gynipo
怪癖	guai pi	gypi	166	2	gypip gypipk
拐骗	guai pian	gypm	162	2	gypmq gypmqn
乖巧	guai qiao	gyqc	675	2	gyqch gyqchm
怪气	guai qi	gyqi	97	2	gyqip gyqipo
怪圈	guai quan	gyqr	367	2	gyqrp gyqrpw
怪人	guai ren	gyrf	437	2	gyrfp gyrfpo
怪谈	guai tan	gytj	234	2	gytjp gytjpi
怪胎	guai tai	gytl	209	2	gytlp gytlpb
怪兽	guai shou	gyub	1334	2	gyubp gyubpc
怪声	guai sheng	gyug	59	2	gyugp gyugpg
怪事	guai shi	gyui	538	2	gyuip gyuipj
怪石	guai shi	gyui	212	2	gyuip gyuipm
拐杖	guai zhang	gyvh	379	2	gyvhq gyvhqd
乖张	guai zhang	gyvh	54	2	gyvhh gyvhhn
拐弯	guai wan	gywj	436	2	gywjq gywjqy
拐弯抹角	guai wan mo jiao	gywjmojc	94	4	gywjmojcq gywjmojcqn
怪我	guai wo	gywo	1174	2	gywop gywoph
怪物	guai wu	gywu	3994	2	gywup gywuph
怪味	guai wei	gywz	141	2	gywzp gywzpr
怪笑	guai xiao	gyxc	79	2	gyxcp gyxcph
怪异	guai yi	gyyi	1444	2	gyyip gyyipr
怪鱼	guai yu	gyyu	68	2	gyyup gyyupn
拐走	guai zou	gyzb	64	2	gyzbq gyzbqg
拐子	guai zi	gyzi	53	2	gyziq gyziqn
怪罪	guai zui	gyzv	211	2	gyzvp gyzvpw
工作	gong zuo	gz	211451	2	gzm gzmo gszo gszom gszomo
工资	gong zi	gz	15972	2	gzm gzmi gszi gszim gszimi
给点	gei dian	gzdm	688	2	gzdmv gzdmvy
给定	gei ding	gzdy	316	2	gzdyv gzdyvj
给个	gei ge	gzge	894	2	gzgev gzgevo
给出	gei chu	gziu	2794	2	gziuv gziuvu
给客户	gei ke hu	gzkehu	474	3	gzkehuv gzkehuvi
给了	gei le	gzle	8428	2	gzlev gzlevn
给了你	gei le ni	gzleni	400	3	gzleniv gzlenivo
给了他	gei le ta	gzleta	673	3	gzletav gzletavo
给了我	gei le wo	gzlewo	2038	3	gzlewov gzlewovh
给面子	gei mian zi	gzmmzi	200	3	gzmmziv gzmmzivn
给你看	gei ni kan	gznikj	340	3	gznikjv gznikjvh
给您	gei nin	gznn	2287	2	gznnv gznnvo
给钱	gei qian	gzqm	553	2	gzqmv gzqmvo
给人	gei ren	gzrf	4860	2	gzrfv gzrfvo
给人以	gei ren yi	gzrfyi	649	3	gzrfyiv gzrfyivv
给他	gei ta	gzta	9401	2	gztav gztavo
给她	gei ta	gzta	5481	2	gztav gztavv
给它	gei ta	gzta	948	2	gztav gztavj
给谁	gei shei	gzuz	496	2	gzuzv gzuzvi
给以	gei yi	gzyi	203	2	gzyiv gzyivv
给药	gei yao	gzyk	357	2	gzykv gzykvt
给足	gei zu	gzzu	103	2	gzzuv gzzuvr
哈巴	ha ba	haba	377	2	habar habara
哈巴河县	ha ba he xian	habahexm	31	4	habahexmr habahexmrb
哈勃	ha bo	habo	129	2	habor haborj
哈达	ha da	hada	230	2	hadar hadary
哈迪	ha di	hadi	58	2	hadir hadiry
哈代	ha dai	hadl	314	2	hadlr hadlro
哈尔	ha er	haer	209	2	haerr haerrn
哈尔滨市	ha er bin shi	haerbnui	1264	4	haerbnuir haerbnuiry
哈佛	ha fo	hafo	2766	2	hafor haforo
哈飞	ha fei	hafz	976	2	hafzr hafzrn
哈根达斯	ha gen da si	hagfdasi	257	4	hagfdasir hagfdasirt
哈工大	ha gong da	hagsda	161	3	hagsdar hagsdark
哈哈哈	ha ha ha	hahaha	3673	3	hahahar hahaharr
哈哈笑	ha ha xiao	hahaxc	149	3	hahaxcr hahaxcrh
哈韩	ha han	hahj	81	2	hahjr hahjrj
哈克	ha ke	hake	66	2	haker hakerj
哈利	ha li	hali	1674	2	halir halirh
哈里	ha li	hali	383	2	halir halirw
哈里斯	ha li si	halisi	293	3	halisir halisirt
哈罗	ha luo	halo	65	2	halor halorw
哈雷	ha lei	halz	252	2	halzr halzrm
蛤蟆	ha ma	hama	627	2	hamal hamall
哈马斯	ha ma si	hamasi	285	3	hamasir hamasirt
哈密	ha mi	hami	611	2	hamir hamirj
哈密瓜	ha mi gua	hamigw	176	3	hamigwr hamigwrh
哈姆雷特	ha mu lei te	hamulzte	178	4	hamulzter hamulzterh
哈梅内伊	ha mei nei yi	hamznzyi	53	4	hamznzyir hamznzyiro
哈尼	ha ni	hani	690	2	hanir hanirs
哈尼族	ha ni zu	hanizu	551	3	hanizur hanizury
哈欠	ha qian	haqm	297	2	haqmr haqmrn
哈日	ha ri	hari	77	2	harir harira
哈萨克	ha sa ke	hasake	550	3	hasaker hasakerj
哈萨克族	ha sa ke zu	hasakezu	72	4	hasakezur hasakezury
哈桑	ha sang	hash	78	2	hashr hashre
哈苏	ha su	hasu	128	2	hasur hasurt
哈特	ha te	hate	201	2	hater haterh
哈市	ha shi	haui	473	2	hauir hauiry
哈士奇	ha shi qi	hauiqi	1332	3	hauiqir hauiqirk
哈瓦那	ha wa na	hawana	110	3	hawanar hawanars
哈维	ha wei	hawz	286	2	hawzr hawzrv
哈腰	ha yao	hayk	93	2	haykr haykrb
还不	hai bu	hb	24122	2	hby hbym hlbu hlbuy hlbuym
河北	he bei	hb	18694	2	hbe hbel hebz hebze hebzel
环保	huan bao	hb	18017	2	hbm hbmo hrbk hrbkm hrbkmo
湖北	hu bei	hb	15739	2	hbe hbel hubz hubze hubzel
厚爱	hou ai	hbai	437	2	hbaim hbaimb
喉癌	hou ai	hbai	94	2	hbair hbairk
后壁	hou bi	hbbi	53	2	hbbih hbbihs
后半	hou ban	hbbj	546	2	hbbjh hbbjhf
厚板	hou ban	hbbj	379	2	hbbjm hbbjmd
后半段	hou ban duan	hbbjdr	136	3	hbbjdrh hbbjdrhh
厚薄	hou bao	hbbk	149	2	hbbkm hbbkmt
后边	hou bian	hbbm	547	2	hbbmh hbbmhy
后部	hou bu	hbbu	284	2	hbbuh hbbuhy
候补	hou bu	hbbu	247	2	hbbuo hbbuol
喉部	hou bu	hbbu	79	2	hbbur hbbury
后补	hou bu	hbbu	59	2	hbbuh hbbuhl
后备	hou bei	hbbz	1170	2	hbbzh hbbzhh
后背	hou bei	hbbz	837	2	hbbzh hbbzhl
后辈	hou bei	hbbz	222	2	hbbzh hbbzhl
后备箱	hou bei xiang	hbbzxd	275	3	hbbzxdh hbbzxdhh
后侧	hou ce	hbce	117	2	hbceh hbceho
后才	hou cai	hbcl	1542	2	hbclh hbclhd
厚的	hou de	hbde	1022	2	hbdem hbdemh
厚德	hou de	hbde	155	2	hbdem hbdemh
厚道	hou dao	hbdk	713	2	hbdkm hbdkmy
后到	hou dao	hbdk	377	2	hbdkh hbdkhm
吼道	hou dao	hbdk	336	2	hbdkr hbdkry
后代	hou dai	hbdl	1403	2	hbdlh hbdlho
后点	hou dian	hbdm	285	2	hbdmh hbdmhy
后盾	hou dun	hbdp	473	2	hbdph hbdphh
后端	hou duan	hbdr	171	2	hbdrh hbdrhy
后段	hou duan	hbdr	84	2	hbdrh hbdrhh
厚度	hou du	hbdu	2177	2	hbdum hbdumi
猴儿	hou er	hber	77	2	hberk hberkl
后发制人	hou fa zhi ren	hbfavirf	66	4	hbfavirfh hbfavirfho
后方	hou fang	hbfh	1298	2	hbfhh hbfhhy
后防	hou fang	hbfh	276	2	hbfhh hbfhhn
后放	hou fang	hbfh	96	2	hbfhh hbfhhy
后妃	hou fei	hbfz	102	2	hbfzh hbfzhv
后跟	hou gen	hbgf	328	2	hbgfh hbgfhr
后盖	hou gai	hbgl	178	2	hbglh hbglht
后果	hou guo	hbgo	4312	2	hbgoh hbgohw
后宫	hou gong	hbgs	1092	2	hbgsh hbgshj
后顾	hou gu	hbgu	566	2	hbguh hbguhm
吼吼	hou hou	hbhb	2604	2	hbhbr hbhbrr
厚厚	hou hou	hbhb	1301	2	hbhbm hbhbmm
后后	hou hou	hbhb	55	2	hbhbh hbhbhh
厚厚的	hou hou de	hbhbde	1077	3	hbhbdem hbhbdemh
后汉	hou han	hbhj	86	2	hbhjh hbhjhe
后海	hou hai	hbhl	408	2	hbhlh hbhlhe
后患	hou huan	hbhr	223	2	hbhrh hbhrhl
后悔	hou hui	hbhv	8568	2	hbhvh hbhvhp
后会	hou hui	hbhv	1233	2	hbhvh hbhvho
后悔莫及	hou hui mo ji	hbhvmoji	133	4	hbhvmojih hbhvmojihn
后悔药	hou hui yao	hbhvyk	149	3	hbhvykh hbhvykht
后话	hou hua	hbhw	92	2	hbhwh hbhwhi
后花园	hou hua yuan	hbhwyr	359	3	hbhwyrh hbhwyrhw
后窗	hou chuang	hbid	203	2	hbidh hbidhj
候车	hou che	hbie	418	2	hbieo hbieok
后撤	hou che	hbie	125	2	hbieh hbiehq
后车	hou che	hbie	90	2	hbieh hbiehk
候车室	hou che shi	hbieui	127	3	hbieuio hbieuioj
后尘	hou chen	hbif	153	2	hbifh hbifhf
后场	hou chang	hbih	330	2	hbihh hbihhg
吼叫	hou jiao	hbjc	300	2	hbjcr hbjcrr
后脚	hou jiao	hbjc	97	2	hbjch hbjchb
后将	hou jiang	hbjd	1000	2	hbjdh hbjdhl
后记	hou ji	hbji	851	2	hbjih hbjihi
后继	hou ji	hbji	461	2	hbjih hbjihv
候机	hou ji	hbji	219	2	hbjio hbjiod
后进	hou jin	hbjn	379	2	hbjnh hbjnhy
后劲	hou jin	hbjn	309	2	hbjnh hbjnhn
后金	hou jin	hbjn	91	2	hbjnh hbjnhc
后就	hou jiu	hbjq	2436	2	hbjqh hbjqhy
后觉	hou jue	hbjt	203	2	hbjth hbjthf
侯爵	hou jue	hbjt	183	2	hbjto hbjtob
后加	hou jia	hbjw	159	2	hbjwh hbjwhk
后街	hou jie	hbjx	1310	2	hbjxh hbjxhh
后接	hou jie	hbjx	72	2	hbjxh hbjxhq
喉结	hou jie	hbjx	69	2	hbjxr hbjxrv
后经	hou jing	hbjy	281	2	hbjyh hbjyhv
后颈	hou jing	hbjy	57	2	hbjyh hbjyhn
后可	hou ke	hbke	867	2	hbkeh hbkehm
喉科	hou ke	hbke	416	2	hbker hbkerh
后浪	hou lang	hblh	98	2	hblhh hblhhe
厚礼	hou li	hbli	164	2	hblim hblimi
后来居上	hou lai ju shang	hblljuuh	118	4	hblljuuhh hblljuuhhy
后来者	hou lai zhe	hbllve	172	3	hbllveh hbllvehj
厚脸皮	hou lian pi	hblmpi	128	3	hblmpim hblmpimd
后轮	hou lun	hblp	254	2	hblph hblphk
喉咙	hou long	hbls	1377	2	hblsr hblsrr
喉咙痛	hou long tong	hblsts	120	3	hblstsr hblstsrk
后路	hou lu	hblu	331	2	hbluh hbluhr
后妈	hou ma	hbma	218	2	hbmah hbmahv
侯马	hou ma	hbma	197	2	hbmao hbmaon
后门	hou men	hbmf	999	2	hbmfh hbmfhl
后面	hou mian	hbmm	11320	2	hbmmh hbmmhm
后母	hou mu	hbmu	87	2	hbmuh hbmuhw
候鸟	hou niao	hbnc	327	2	hbnco hbncop
后脑	hou nao	hbnk	367	2	hbnkh hbnkhb
后脑勺	hou nao shao	hbnkuk	201	3	hbnkukh hbnkukhp
后年	hou nian	hbnm	177	2	hbnmh hbnmho
猴年	hou nian	hbnm	68	2	hbnmk hbnmko
猴年马月	hou nian ma yue	hbnmmayt	37	4	hbnmmaytk hbnmmaytkb
后怕	hou pa	hbpa	270	2	hbpah hbpahp
后排	hou pai	hbpl	995	2	hbplh hbplhq
后篇	hou pian	hbpm	73	2	hbpmh hbpmhh
厚朴	hou po	hbpo	144	2	hbpom hbpomd
侯佩岑	hou pei cen	hbpzcf	192	3	hbpzcfo hbpzcfou
后桥	hou qiao	hbqc	75	2	hbqch hbqchd
后期	hou qi	hbqi	4380	2	hbqih hbqiht
后起	hou qi	hbqi	202	2	hbqih hbqihg
后起之秀	hou qi zhi xiu	hbqivixq	125	4	hbqivixqh hbqivixqhh
后勤	hou qin	hbqn	1919	2	hbqnh hbqnht
后勤部	hou qin bu	hbqnbu	151	3	hbqnbuh hbqnbuhy
后去	hou qu	hbqu	330	2	hbquh hbquhg
后区	hou qu	hbqu	127	2	hbquh hbquhs
后人	hou ren	hbrf	1295	2	hbrfh hbrfho
后任	hou ren	hbrf	148	2	hbrfh hbrfho
后日	hou ri	hbri	97	2	hbrih hbriha
后送	hou song	hbss	79	2	hbssh hbsshy
后头	hou tou	hbtb	296	2	hbtbh hbtbhy
猴头	hou tou	hbtb	134	2	hbtbk hbtbky
喉头	hou tou	hbtb	94	2	hbtbr hbtbry
后藤	hou teng	hbtg	56	2	hbtgh hbtght
后唐	hou tang	hbth	53	2	hbthh hbthhi
后台	hou tai	hbtl	2322	2	hbtlh hbtlhi
后天	hou tian	hbtm	1680	2	hbtmh hbtmhm
后土	hou tu	hbtu	222	2	hbtuh hbtuhg
后退	hou tui	hbtv	1376	2	hbtvh hbtvhy
后腿	hou tui	hbtv	308	2	hbtvh hbtvhb
后庭	hou ting	hbty	77	2	hbtyh hbtyhi
后首	hou shou	hbub	167	2	hbubh hbubht
后手	hou shou	hbub	98	2	hbubh hbubhq
喉舌	hou she	hbue	74	2	hbuer hbuerh
候审	hou shen	hbuf	167	2	hbufo hbufoj
后身	hou shen	hbuf	106	2	hbufh hbufhh
后生	hou sheng	hbug	435	2	hbugh hbughh
吼声	hou sheng	hbug	183	2	hbugr hbugrg
厚生	hou sheng	hbug	52	2	hbugm hbugmh
后上	hou shang	hbuh	93	2	hbuhh hbuhhy
后市	hou shi	hbui	2225	2	hbuih hbuihy
后世	hou shi	hbui	797	2	hbuih hbuihp
厚实	hou shi	hbui	478	2	hbuim hbuimj
后事	hou shi	hbui	259	2	hbuih hbuihj
后视镜	hou shi jing	hbuijy	889	3	hbuijyh hbuijyho
后山	hou shan	hbuj	364	2	hbujh hbujhu
后周	hou zhou	hbvb	75	2	hbvbh hbvbhb
后者	hou zhe	hbve	2851	2	hbveh hbvehj
厚着	hou zhe	hbve	389	2	hbvem hbvemt
吼着	hou zhe	hbve	350	2	hbver hbvert
后知	hou zhi	hbvi	209	2	hbvih hbviho
后置	hou zhi	hbvi	145	2	hbvih hbvihw
后肢	hou zhi	hbvi	52	2	hbvih hbvihb
后传	hou zhuan	hbvr	585	2	hbvrh hbvrho
厚重	hou zhong	hbvs	1068	2	hbvsm hbvsmh
后主	hou zhu	hbvu	142	2	hbvuh hbvuhy
后缀	hou zhui	hbvv	339	2	hbvvh hbvvhv
后文	hou wen	hbwf	56	2	hbwfh hbwfhy
厚望	hou wang	hbwh	282	2	hbwhm hbwhmy
猴王	hou wang	hbwh	242	2	hbwhk hbwhkm
后无来者	hou wu lai zhe	hbwullve	57	4	hbwullveh hbwullvehj
后卫	hou wei	hbwz	2069	2	hbwzh hbwzhs
后为	hou wei	hbwz	326	2	hbwzh hbwzhi
后尾	hou wei	hbwz	239	2	hbwzh hbwzhs
后味	hou wei	hbwz	75	2	hbwzh hbwzhr
后向	hou xiang	hbxd	185	2	hbxdh hbxdhh
后弦	hou xian	hbxm	207	2	hbxmh hbxmhn
后现代	hou xian dai	hbxmdl	673	3	hbxmdlh hbxmdlho
后心	hou xin	hbxn	78	2	hbxnh hbxnhp
候选	hou xuan	hbxr	2241	2	hbxro hbxroy
候选人	hou xuan ren	hbxrrf	1483	3	hbxrrfo hbxrrfoo
后学	hou xue	hbxt	73	2	hbxth hbxthf
后续	hou xu	hbxu	2146	2	hbxuh hbxuhv
后下	hou xia	hbxw	102	2	hbxwh hbxwhm
后行	hou xing	hbxy	150	2	hbxyh hbxyhh
后又	hou you	hbyb	1287	2	hbybh hbybhn
后有	hou you	hbyb	1109	2	hbybh hbybhk
后由	hou you	hbyb	202	2	hbybh hbybhl
侯爷	hou ye	hbye	129	2	hbyeo hbyeoc
后仰	hou yang	hbyh	168	2	hbyhh hbyhho
后裔	hou yi	hbyi	596	2	hbyih hbyihy
后羿	hou yi	hbyi	332	2	hbyih hbyihs
后遗症	hou yi zheng	hbyivg	1127	3	hbyivgh hbyivghk
厚颜	hou yan	hbyj	137	2	hbyjm hbyjmy
喉炎	hou yan	hbyj	63	2	hbyjr hbyjrf
后腰	hou yao	hbyk	254	2	hbykh hbykhb
侯耀文	hou yao wen	hbykwf	434	3	hbykwfo hbykwfoy
后因	hou yin	hbyn	282	2	hbynh hbynhw
后院	hou yuan	hbyr	785	2	hbyrh hbyrhn
后援	hou yuan	hbyr	277	2	hbyrh hbyrhq
后援会	hou yuan hui	hbyrhv	116	3	hbyrhvh hbyrhvho
后用	hou yong	hbys	496	2	hbysh hbyshb
后于	hou yu	hbyu	147	2	hbyuh hbyuhm
后走	hou zou	hbzb	81	2	hbzbh hbzbhg
猴子	hou zi	hbzi	2529	2	hbzik hbzikn
后再	hou zai	hbzl	2528	2	hbzlh hbzlhm
后座	hou zuo	hbzo	519	2	hbzoh hbzohi
后坐	hou zuo	hbzo	116	2	hbzoh hbzoho
活动	huo dong	hd	98631	2	hde hdem hods hodse hodsem
很多	hen duo	hd	79730	2	hdh hdhn hfdo hfdoh hfdohn
好的	hao de	hd	43041	2	hdv hdvh hkde hkdev hkdevh
获得	huo de	hd	33336	2	hdt hdth hode hodet hodeth
回答	hui da	hd	33013	2	hdw hdwh hvda hvdaw hvdawh
回到	hui dao	hd	21644	2	hdw hdwm hvdk hvdkw hvdkwm
好多	hao duo	hd	17251	2	hdv hdvn hkdo hkdov hkdovn
很大	hen da	hd	16960	2	hdh hdhk hfda hfdah hfdahk
磺胺	huang an	hdan	201	2	hdanm hdanmb
黄安	huang an	hdan	94	2	hdant hdantj
黄斑	huang ban	hdbj	154	2	hdbjt hdbjtm
谎报	huang bao	hdbk	93	2	hdbki hdbkiq
黄白	huang bai	hdbl	89	2	hdblt hdblth
慌不择路	huang bu ze lu	hdbuzelu	44	4	hdbuzelup hdbuzelupr
荒草	huang cao	hdck	137	2	hdckt hdcktt
荒村	huang cun	hdcp	84	2	hdcpt hdcptd
黄大仙	huang da xian	hddaxm	210	3	hddaxmt hddaxmto
黄豆	huang dou	hddb	619	2	hddbt hddbtm
黄的	huang de	hdde	654	2	hddet hddeth
晃得	huang de	hdde	53	2	hddea hddeah
黄灯	huang deng	hddg	68	2	hddgt hddgtf
晃荡	huang dang	hddh	204	2	hddha hddhat
皇帝	huang di	hddi	6489	2	hddih hddihy
黄帝	huang di	hddi	982	2	hddit hddity
荒地	huang di	hddi	234	2	hddit hdditg
荒诞	huang dan	hddj	497	2	hddjt hddjti
黄疸	huang dan	hddj	431	2	hddjt hddjtk
黄岛	huang dao	hddk	446	2	hddkt hddktp
黄道	huang dao	hddk	224	2	hddkt hddkty
荒岛	huang dao	hddk	215	2	hddkt hddktp
晃动	huang dong	hdds	829	2	hddsa hddsam
黄蜂	huang feng	hdfg	911	2	hdfgt hdfgtl
皇甫	huang fu	hdfu	410	2	hdfuh hdfuhi
荒废	huang fei	hdfz	574	2	hdfzt hdfzti
黄飞鸿	huang fei hong	hdfzhs	222	3	hdfzhst hdfzhste
黄光裕	huang guang yu	hdgdyu	744	3	hdgdyut hdgdyutl
黄冈	huang gang	hdgh	1154	2	hdght hdghtb
黄冈市	huang gang shi	hdghui	127	3	hdghuit hdghuity
黄盖	huang gai	hdgl	68	2	hdglt hdgltt
黄果树	huang guo shu	hdgouu	349	3	hdgouut hdgouutd
皇冠	huang guan	hdgr	3358	2	hdgrh hdgrhb
簧管	huang guan	hdgr	114	2	hdgrh hdgrhh
皇宫	huang gong	hdgs	1329	2	hdgsh hdgshj
皇姑	huang gu	hdgu	819	2	hdguh hdguhv
皇姑区	huang gu qu	hdguqu	252	3	hdguquh hdguquhs
黄瓜	huang gua	hdgw	1814	2	hdgwt hdgwth
皇后	huang hou	hdhb	2885	2	hdhbh hdhbhh
晃晃	huang huang	hdhd	721	2	hdhda hdhdaa
惶惶	huang huang	hdhd	326	2	hdhdp hdhdpp
慌慌	huang huang	hdhd	163	2	hdhdp hdhdpp
黄黄	huang huang	hdhd	158	2	hdhdt hdhdtt
恍恍惚惚	huang huang hu hu	hdhdhuhu	100	4	hdhdhuhup hdhdhuhupp
黄河	huang he	hdhe	3777	2	hdhet hdhete
黄鹤	huang he	hdhe	950	2	hdhet hdheto
黄褐斑	huang he ban	hdhebj	359	3	hdhebjt hdhebjtm
黄鹤楼	huang he lou	hdhelb	621	3	hdhelbt hdhelbtd
黄褐色	huang he se	hdhese	108	3	hdheset hdhesetn
黄海	huang hai	hdhl	537	2	hdhlt hdhlte
惶惑	huang huo	hdho	78	2	hdhop hdhopi
黄昏	huang hun	hdhp	2233	2	hdhpt hdhpth
恍惚	huang hu	hdhu	1043	2	hdhup hdhupp
黄花	huang hua	hdhw	965	2	hdhwt hdhwtt
谎话	huang hua	hdhw	308	2	hdhwi hdhwii
黄骅	huang hua	hdhw	246	2	hdhwt hdhwtn
磺化	huang hua	hdhw	59	2	hdhwm hdhwmo
黄花菜	huang hua cai	hdhwcl	122	3	hdhwclt hdhwcltt
黄花岗	huang hua gang	hdhwgh	156	3	hdhwght hdhwghtu
黄骅市	huang hua shi	hdhwui	127	3	hdhwuit hdhwuity
皇城	huang cheng	hdig	475	2	hdigh hdighg
谎称	huang cheng	hdig	250	2	hdigi hdigih
